,Description,ASIN,Product Description,Manufacturer
121,"   Care Instructions: Wipe with Damp Cloth    Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product.    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" Laptop, Back padding with Air mesh; Front access pocket for you to easily carry important small items with a bottle holder on the side    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Top Slip In Pocket    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596); 750 days of international warranty    
",B0BR1D4SL1," 
",Acefour Accessories Pvt. Ltd.
122,"   Ergonomically Designed : Spacious with Multiple Compartments & Pockets : Intuitive Access : Cushioned Back Panel & Shoulder Straps : Lightweight    Bartacked Load Points : Water Resistant Fabric : Heavy Duty Long Lasting Zippers    Padded Velcro'ed Sleeve fits upto 15.6"" Laptop : Padded Base    Outer material type: Polyester    
",B097KGL2M5," 
 Gear bags are designed for the quick commute as well for the long journey. These backpacks can be used as laptop bags, adventure bags and so on. Your favorite travel companion, the backpacks come with enough storage space to carry all your requirements.  ",Gear
123,"   Made in India - with pride    This Nivia backpacks have one main compartment is secured with drawstring rope closure    This backpack is perfect for athletes and students on the go    Material: Polyester    In-Box Contents: 1 String Bag    Country of Origin: India    
",unknown,unknown,unknown
124,"   Capicity: 21 Litres, Weight: 0.4kg; Dimensions: 45cmX29cmX16cm; Outer Material: Polyester; Inner Material: Polyester<br>    Water Repellent: Yes; Laptop Compartment: Yes ; Compartments: 2,one front pocket to hold essentials and A mesh stash pocket on one side to accommodate a drinking bottle & other accessories.<br>    Utility: Office, College, School, Camping, Weekend trip, Day trip<br>    Accessories shown in the picture are not part of the bag.<br>    Closure Type: Zipper; Strap Type: Adjustable; Age Range Description: Kid; Warranty Description: No Warranty; Style Name: Daypack Backpacks; Color Name: Blu-Wht; Water Resistance Level: Water Resistant<br>    
",Rushi Enterprise,unknown,: ‎ 28 August 2018
125,"   Pattern Type : Pure Color || Closure Type : Zipper || Gender : Unisex    Material : Snow Yarn Polyester Fabric || Handle/Strap Type : Soft Handle/Adjustable Shoulder Straps    Dimensions : 12.5 * 18 Inch || Capacity : 25 Litre || Fit for 15.6 Inch Laptops/Notebooks    Two Side Water Bottle Pockets || One Main Compartment And A Front Pocket    Eco-friendly, Durable, Lightweight, Flexible And Water-Resistant Material Helps To Keep The Interior Dry    
› See more product details ",unknown,unknown,unknown
126,"   MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc<br>; Closure Type: Zipper Snap; Pattern Name: Solid; Age Range Description: Adult<br>; Pattern Name: Solid; Age Range Description: Adult; Closure Type: Zipper Snap<br><br> <br>    Water Resistance Level: Water Resistant; Warranty Description: Cosmus Branded Backpack Comes With One Year Manufacturer Warranty.; Compartment Description: Up To 15 Inches; Strap Type: Adjustable Handle; Style Name: Casual Backpack<br><br> <br>    Special Features: Usb Port; Lining Description: Polyester; Material Type: Polyester <br>    
› See more product details ",unknown,unknown,unknown
127,"   Outer Material: Fabric, Color: Black; Water resistant    Capacity: 21 liters; Weight: 480 grams; Dimensions: 18 inches x 13 inches x 5 inches (LxWxH)    Number of compartments: 2    Laptop Compatibility: Yes, Laptop Size: 15 inches    Pocket Description: Utility Pocket; Closure Type: Zipper; Age Range Description: Adult; Style Name: Traditional Backpacks; Special Features: Laptop Compartment; Lining Description: Nylon    Fits upto 15"",Side mesh pocket for water bottle    
",Wildcraft," 
 Fits upto 15 inch. Side mesh pocket for water bottle. Padded back system for carrying comfort. Webbing haul loop. Internal organizer. Material Specifications: 420D Poly Ripstop coated, 210D Nylon Poly Melange, 420D TM Poly Dobby.  ",: ‎ 7 July 2018
128,"   Material type:PU Leather    Weight:25 cm x 11 cm x 20 cm (LxWxH),Small capacity but perfectly fits up to 10” Tablet.    Water Resistence:Yes,but not waterproof    SpecialFeatures : 2 Front - Side Pocket + 2 Main Pockets +1 Back - Side Pocket +2 In-Side Pockets.    Disclaimer:To analyze the size accurately, kindly read the dimension and check with any scale available to you before placing order.    
",B0983N9GXN,unknown,SaiTech IT Private Limited
129,"   SMART, SPACIOUS & MULTI UTILITY: This large hiking backpack is 55 litres, which means it is triple times the normal requirement of a backpack bag. The large backpack comes with a LAPTOP SLEEVE inside the main compartment. It has got several buckles, straps and convenient pockets that make it suitable for adjusting a lot of travel stuff inside this large trekking rucksack bag. This backpack bag will facilitate you in all your sports, camping and hiking trips.<br><br>    SHOE COMPARTMENT : A convenient multipurpose backpack bag with shoe compartment in the front bottom of this trekking backpack. The SHOE COMPARTMENT is big enough keep a pair of shoes very easily.<br>;Warranty Description: 1 Year Trawoc Warranty; Compartment Description: Up To 17 Inches<br>    CHIC, SMART & TRENDY LOOKS: This Large 61 x 32 x 21 Cm rucksack bag is smart, trendy and stylish in looks. The multipurpose rucksack bacpack looks smart, athletic and venturesome and the blend of grey and red makes it appear exquisite. Your hiking trips, mountaineering experience cannot get completed without this amazing trekking backpack.<br><br>    WATER RESISTANT: These bags are waterproof which makes them apt for surviving in heat, rain, and other extreme situations. Water-resistance also helps in stretching out the life span of these backpack bags; 1 YEAR WARRANTY : This bag comes with a 1-year manufacturer warranty, which makes it a great investment.<br><br>    Style Name: Travel Backpacks; Lining Description: Polyester; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult; Special Features: Laptop Compartment; Closure Type: Zipper<br>    
",B07XY6BFXJ,unknown,TRAWOC
130,"   EUME's Made in India Massager Backpack, made of High Quality Nylon Fabric. The inside has Polyester Lining 190. This product comes under the Bag/ Backpack/ Laptop Bag/ Laptop Backpack/Massager Backpack/ Massager Bag category. Find it in 6 colours - Black, Melange, Black Gold, Grey, Red, Teal Blue<br>    Capacity: 22 Litres ; Weight: 1.3 kgs; Dimensions: Centimeters: 33.02 x 16.5 x 49.5, Inches: 13 x 6.5 x 19.5; Main Compartment: 1; Front Pocket: 1; Side Pocket: 2 - to keep your 1 liter water bottle; Padded Internal Laptop Sleeve; Padded Shoulder Straps; Padded Back Panel<br>    Maintenance: Wipe with a clean, dry cloth when needed. This bag is Water & Dust Resistant and has a Premium Quality Zipper and Metallic Zinc Pullers. It also comes with Chest and Waist Belts.<br>    Other Specs: This bag has 2 Sets of massagers for maximum relaxation of the upper and lower back. It has an Internal Organization panel, a Top Carry Handle and a Heavy Duty Reversible Zipper and can be powered using a Power Bank (10000 mAh recommended); This bag has an adjustable torso and can be custom adjusted to different heights for perfect placement of the massagers on upper and lower backs. It fits most 15-inch laptops<br>    Pocket Description: Utility Pocket; Compartment Description: Up To 14 Inches; Age Range Description: Adult; Warranty Description: 1 Year Warranty Against Manufacturing Defects; Style Name: Travel Backpacks; Pattern Name: Solid; Special Features: Laptop Compartment<br>    
› See more product details ",unknown,unknown,unknown
131,"   Closure: Zipper    PREMIUM MATERIAL: This stylish chest bag is made of waterproof TPU material. Comes in a shell structure with a front Rhombus design.    ORGANIZED DESIGN: Spaced compartment with one separate soft sleeve to hold iPad, phone, or notebook. Spacious enough to store accessories like a camera or short trip essentials. Multiple organized pockets to hold money wallet, power bank, mobile, charger, pens, cable, etc. Soft adjustable single shoulder strap to relieve the stress of shoulder. A strong sturdy handle to carry the bag with ease.    USB FEATURE: External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.    DIMENSIONS: 19 cms x 16 cms x 33 cms (LxWxH). The weight of the bag is 0.48 KG.    Outer Material Type: Synthetic    
",: ‎ BG7213," 
",B09VGNTDRZ
132,"   Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage    Right sized with sturdy stitching; Dimension: (28.2 cm x 14.1 cm x 42.2 cm); Warranty: 750 days international warranty    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)    Padded laptop compartment fits up to 14”, Back padding with Air mesh; Front access pocket for you to easily carry important small items with two bottle holders on the sides    
",B0BWNCV31F," 
",Acefour Accessories Pvt. Ltd.
